generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
86000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.0974552,7.7838,-0.75756,5.63889,0
86000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.312751,5.62396,-0.511002,19.3522,0
86000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.60653,4.63611,1.02437,15.4714,0
86000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.984224,207.84,0.215377,3.24794,0
87000,Eucalyptus_obliqua,Eucalyptus_barberi,0,2.19767,-1.34367,8.71823,0
87000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.936789,25.9934,0.449282,12.3239,0
87000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.970837,141.133,0.429842,11.9581,0
87000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.976545,131.694,-0.5007,17.0182,0
88000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.884946,0.0197105,7.58462,0
88000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.92602,101.488,0.667592,26.9275,0
88000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.981316,205.745,-0.179168,28.8012,0
89000,Eucalyptus_obliqua,Eucalyptus_barberi,0,5.02614,-0.728235,4.07716,0
89000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.985405,170.677,0.974616,3.2322,0
89000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.473658,0.651363,2.30111,8.07978,0
89000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.981699,172.774,-0.200005,18.4449,0
90000,Eucalyptus_obliqua,Eucalyptus_barberi,0,9.66271,-0.324761,10.8979,0
90000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.532747,0.757268,-0.624806,4.0464,0
90000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.967487,160.766,1.71577,6.94307,0
90000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.661007,11.9151,-1.58176,18.1507,0
90000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.977027,159.172,-0.0561945,5.15641,0
91000,Eucalyptus_obliqua,Eucalyptus_barberi,0,2.73489,-0.555056,9.7207,0
91000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.985108,234.115,1.44564,13.9608,0
91000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.935727,18.0075,-0.344191,23.2306,0
91000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.976688,128.033,0.420613,9.98265,0
92000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.676097,0.19987,6.71786,0
92000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.983842,119.461,0.843792,2.50643,0
92000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.971444,145.438,0.374328,6.09161,0
93000,Eucalyptus_obliqua,Eucalyptus_barberi,0,1.63533,-0.832276,4.13171,0
93000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.976635,150.379,0.516512,9.3685,0
93000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.974808,185.712,0.239927,5.10042,0
94000,Eucalyptus_obliqua,Eucalyptus_barberi,0,12.2021,-1.0654,15.5382,0
94000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.988009,207.424,0.464189,8.87137,0
94000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.984209,182.695,0.110682,2.01418,0
95000,Eucalyptus_obliqua,Eucalyptus_barberi,0,23.0922,-1.1932,21.2669,0
95000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.990666,197.592,0.0491821,0.522372,0
95000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.981651,162.907,0.0909618,11.19,0
96000,Eucalyptus_obliqua,Eucalyptus_barberi,0,28.518,-1.21617,22.4803,0
96000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.97299,106.981,-0.606237,17.9217,0
96000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.979708,206.296,0.201548,19.2234,0
97000,Eucalyptus_obliqua,Eucalyptus_barberi,0,18.0255,-1.10132,18.09,0
97000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.987624,149.457,-0.341172,4.47117,0
97000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.970475,134.723,0.260821,15.6096,0
98000,Eucalyptus_obliqua,Eucalyptus_barberi,0,0.244558,-0.0116283,8.49637,0
98000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.990428,240.006,-0.415853,5.45377,0
98000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.980225,131.159,-0.57375,5.98318,0
99000,Eucalyptus_obliqua,Eucalyptus_barberi,0,3.58909,-0.252558,10.3299,0
99000,Eucalyptus_obliqua,Eucalyptus_sieberi,0.973858,135.674,-0.150787,7.11764,0
99000,Eucalyptus_barberi,Eucalyptus_dalrympleana,0.963412,118.604,0.183307,4.33435,0
